麺	めん
寧	むしろ
罹患	りかん
睡眠	すいみん
美容院	びよういん
狐	きつ
狐	きつね
狐	けつね
狼	おおかみ
地獄	じごく
獣医	じゅうい
猟師	りょうし
未曾有	みそう
未曾有	みぞう
常勤	じょうきん
未亡人	みぼうじん
不公平	ふこうへい
仮眠	かみん
苛め	いじめ
虐め	いじめ
お陰で	おかげで
可哀想	かわいそう
我流	がりゅう
武芸	ぶげい
消える	きえる
消す	けす
避ける	さける
避ける	よける
除ける	よける
輪郭	りんかく
輪廓	りんかく
姿	すがた
印刷	いんさつ
獲る	える
獲る	とる
湧く	わく
涌く	わく
泉	いずみ
実践	じっせん
秩序	ちつじょ
鍛える	きたえる
熟練	じゅくれん
揉む	もむ
難問	なんもん
解く	とく
解く	ほどく
類似	るいじ
極致	きょくち
到達	とうたつ
達人	たつじん
砂鉄	さてつ
名刀	めいとう
黙る	だまる
拘る	かかわる
拘る	こだわる
奪う	うばう
落語	らくご
教わる	おそわる
慰める	なぐさめる
執筆	しっぴつ
傍ら	かたわら
側	かたわら
側ら	かたわら
傍	かたわら
脇	かたわら
旁	かたわら
滑る	すべる
辷る	すべる
滑る	ぬめる
滑らか	なめらか
床	しょう
床	とこ
床	ゆか
牀	ゆか
閲覧	えつらん
甦る	よみがえる
蘇える	よみがえる
蘇る	よみがえる
甦える	よみがえる
劃す	かくす
比喩的	ひゆてき
幻想	げんそう
諦める	あきらめる
貼り付け	はりつけ
潜る	くぐる
潜る	もぐる
眺める	ながめる
誤る	あやまる
謬る	あやまる
謝る	あやまる
外貌	がいぼう
透かさず	すかさず
稼働	かどう
稼動	かどう
羊	ひつじ
幾分	いくぶん
鮮やか	あざやか
列挙	れっきょ
やきもき	やきもき
稼ぐ	かせぐ
悍ましい	おぞましい
湾曲	わんきょく
わん曲	わんきょく
彎曲	わんきょく
弯曲	わんきょく
鴨	かも
鳧	かも
忌嫌う	いみきらう
家鴨	あひる
油断	ゆだん
断つ	たつ
絶つ	たつ
截つ	たつ
支配	しはい
帝国	ていこく
寝台車	しんだいしゃ
車掌	しゃしょう
一桁	ひとけた
乗り過ごす	のりすごす
遂に	ついに
終に	ついに
竟に	ついに
挨拶	あいさつ
熟す	こなす
熟す	じゅくす
告訴	こくそ
訴える	うったえる
嚏	くさめ
嚏	くしゃみ
嚏	くっさめ
紅葉狩り	もみじがり
整える	ととのえる
斉える	ととのえる
調える	ととのえる
襲う	おそう
怪獣	かいじゅう
降伏	こうふく
降服	こうふく
旗	はた
旌	はた
配偶者	はいぐうしゃ
納得	なっとく
驚異的	きょういてき
培う	つちかう
価値観	かちかん
誇る	ほこる
捨て去る	すてさる
疾うに	とうに
北朝鮮	きたちょうせん
故に	ゆえに
謎	なぞ
自ら	おのずから
自ら	みずから
掲示板	けいじばん
嘘	うそ
贈る	おくる
名刺	めいし
組織	そしき
否定的	ひていてき
総称	そうしょう
既に	すでに
已に	すでに
既に	すんでに
追加	ついか
却下	きゃっか
一杯	いっぱい
紛争	ふんそう
経済制裁	けいざいせいさい
措置	そち
課す	かす
反対	はんたい
輸出	しゅしゅつ
輸出	ゆしゅつ
掲げる	かかげる
脅し	おどし
忠告	ちゅうこく
祈る	いのる
祷る	いのる
丁寧	ていねい
叮嚀	ていねい
尊重	そんちょう
自粛	じしゅく
荒らし	あらし
放置	ほうち
削除	さくじょ
疲労	ひろう
醸す	かもす
根付く	ねづく
鑑賞	かんしょう
喧嘩	けんか
諠譁	けんか
貰う	もらう
旦那	だんな
檀那	だんな
披露宴	ひろうえん
認める	したためる
認める	みとめる
語彙	ごい
問い合わせ	といあわせ
問合せ	といあわせ
締切	しめきり
〆切	しめきり
〆切り	しめきり
締め切り	しめきり
締切り	しめきり
推薦状	すいせんじょう
持参	じさん
奨学金	しょうがくきん
図る	はかる
謀る	はかる
爽快	そうかい
穏やか	おだやか
不可欠	ふかけつ
日帰り	ひがえり
恐縮	きょうしゅく
網羅	もうら
嵩張る	かさばる
騙し	だまし
陸地	りくち
着陸	ちゃくりく
敷地内	しきちない
興味	きょうみ
僻地	へきち
契約	けいやく
年額	ねんがく
損なう	そこなう
損う	そこなう
誹謗中傷	ひぼうちゅうしょう
訴訟	そしょう
株主総会	かぶぬしそうかい
突然	とつぜん
株主	かぶぬし
属する	しょくする
属する	ぞくする
評判	ひょうばん
顧客	こかく
顧客	こきゃく
活かす	いかす
掲載	けいさい
可否	かひ
複数回	ふくすうかい
承る	うけたまわる
受け賜る	うけたまわる
宛	あて
宛て	あて
に付き	につき
即ち	すなわち
則ち	すなわち
乃ち	すなわち
合図	あいず
相図	あいず
扇ぐ	あおぐ
煽ぐ	あおぐ
青白い	あおじろい
蒼白い	あおじろい
握手	あくしゅ
呆れる	あきれる
惘れる	あきれる
明くる	あくる
翌る	あくる
明け方	あけがた
明方	あけがた
足元	あしもと
足もと	あしもと
足下	あしもと
厚かましい	あつかましい
圧縮	あっしゅく
あっ縮	あっしゅく
暴れる	あばれる
炙る	あぶる
甘やかす	あまやかす
編物	あみもの
編み物	あみもの
飴	あめ
粗い	あらい
嵐	あらし
粗筋	あらすじ
凡ゆる	あらゆる
慌しい	あわただしい
慌てる	あわてる
周章てる	あわてる
暮方	くれがた
下人	げにん
丹塗	にぬり
剥げる	はげる
円柱	えんちゅう
円柱	まるばしら
蟋蟀	きりぎりす
蟋蟀	こおろぎ
市女笠	いちめがさ
揉烏帽子	もみえぼし
何故か	なぜか
云う	いう
云う	ゆう
辻風	つじかぜ
饑饉	ききん
洛中	らくちゅう
錆びる	さびる
一通り	ひととおり
仏像	ぶつぞう
仏具	ぶぐ
仏具	ぶつぐ
砕く	くだく
丹	に
金銀	きんぎん
箔	はく
端末	たんまつ
薪	たきぎ
薪	まき
料	りょう
始末	しまつ
顧る	かえりみる
荒れ果てる	あれはてる
狐狸	こり
棲む	すむ
盗人	とうじん
盗人	ぬすっと
盗人	ぬすと
盗人	ぬすびと
到頭	とうとう
棄てる	すてる
足踏み	あしぶみ
足ぶみ	あしぶみ
鴉	からす
鴟尾	しび
啼く	なく
殊に	ことに
異に	ことに
胡麻	ごま
啄む	ついばむ
刻限	こくげん
崩れかかる	くずれかかる
石段	いしだん
糞	くそ
糞	ふん
こびり付く	こびりつく
洗いざらす	あらいざらす
紺	こん
襖	あお
襖	ふすま
尻を据える	しりをすえる
頬	つら
頬	ほお
頬	ほほ
面皰	にきび
面皰	めんぼう
可き	べき
筈	はず
弭	はず
衰微	すいび
永年	えいねん
永年	ながねん
他ならない	ほかならない
余波	なごり
余波	なごろ
余波	よは
降り籠める	ふりこめる
途方に暮れる	とほうにくれる
空模様	そらもよう
未だに	いまだに
どうにもならない	どうにもならない
取留める	とりとめる
辿る	たどる
百姓	おおみたから
百姓	ひゃくしょう
百姓	ひゃくせい
ざあっ	ざあっ
夕闇	ゆうやみ
斜めに	ななめに
甍	いらか
手段	しゅだん
遑	いとま
築地	ついじ
築地	つきじ
飢え死に	うえじに
低徊	ていかい
揚句	あげく
挙げ句	あげく
挙句	あげく
揚げ句	あげく
局所	きょくしょ
逢着	ほうちゃく
肯定	こうてい
大儀	たいぎ
夕冷え	ゆうびえ
火桶	ひおけ
吹き抜ける	ふきぬける
頸	くび
縮む	ちじむ
縮む	ちぢむ
山吹	やまぶき
汗袗	あせとり
憂え	うれえ
虞	おそれ
兎も角	ともかく
夜を明かす	よをあかす
楼	ろう
梯子	ていし
梯子	はしご
聖柄	ひじりづか
太刀	たち
大刀	たち
鞘走る	さやばしる
藁草履	わらぞうり
窺う	うかがう
微か	かすか
幽か	かすか
鬚	ひげ
膿	うみ
高を括る	たかをくくる
灯す	さす
灯す	ともす
点す	ともす
濁る	にごる
揺れる	ゆれる
どうせ	どうせ
守宮	やもり
這う	はう
爬う	はう
覗く	のぞく
窺く	のぞく
臨く	のぞく
覘く	のぞく
ご無沙汰	ごぶさた
彩る	いろどる
色取る	いろどる
監督	かんとく
滅びる	ほろびる
亡びる	ほろびる
磁力	じりょく
核	かく
核	さね
膨らむ	ふくらむ
脹らむ	ふくらむ
歪む	いがむ
歪む	ひずむ
歪む	ゆがむ
ノアの箱舟	ノアのはこぶね
地殻	ちかく
迫り上がる	せりあがる
喜望峰	きぼうほう
密かに	ひそかに
親しい	したしい
親しい	ちかしい
遭遇	そうぐう
壊滅	かいめつ
潰滅	かいめつ
逸れる	それる
逸れる	はぐれる
精霊	しょうりょう
精霊	せいれい
因業	いんごう
惨め	みじめ
不見目	みじめ
頷く	うなずく
肯く	うなずく
首肯く	うなずく
癒す	いやす
吉日	きちじつ
吉日	きちにち
清祥	せいしょう
俳優	はいゆう
