麺	noodles<br><br>めん
届く	to reach; to arrive; to get through; to get at; to be attentive; to pay attention; to be delivered; to carry (e.g. sound)<br><br>とどく
切ない	painful; heartrending; trying; oppressive; suffocating; miserable<br><br>せつない
遥か彼方	faraway; far-off (nonstandard reading?)<br><br>はるかかなた
優しい	tender; kind; gentle; graceful; affectionate; amiable; suave<br><br>やさしい
照らす	to shine on; to illuminate<br><br>てらす
永遠	eternity; perpetuity; immortality; permanence<br><br>えいえん
誓う	to swear; to vow; to take an oath; to pledge<br><br>ちかう
淵、渕	deep pool; abyss; the depths<br><br>ふち
足りる	to be sufficient; to be enough; to be worth doing; to be worthy; to be sufficient; to answer; to do<br><br>たりる
泪　涕　涙	tear; tears; sympathy<br><br>なみだ
喜び	joy; delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations<br><br>よろこび
抱き締める	to hug someone close; to hold someone tight; to embrace closely<br><br>だきしめる
夢	dream<br><br>ゆめ
覚める	to wake; to wake up; to become sober; to sober up; to regain consciousness (e.g. after anaesthesia); to come to one's senses; to be disillusioned<br><br>さめる
ノーウッド	Norwood<br><br>
アーサー・コナン・ドイル	Arthur Conan Doyle<br><br>
万歳	crying "banzai" (or raising one's hands in the banzai gesture); something worthy of celebration; giving up; long time; eternal life (and prosperity); banzai (a celebratory cheer)<br><br>ばんざい
午後	p.m.<br><br>ごご
午前	a.m.<br><br>ごぜん
毎に	one by one/each/every<br><br>ごとに
南	(n) south/(P)<br><br>みなみ
北	(n) north/(P)<br><br>きた
南北戦争	(n) (US) Civil War<br><br>なんぼくせんそう
北海道	(n) Hokkaido (northernmost of the four main islands of Japan)/(P)<br><br>ほっかいどう
学校	(n) school/(P)<br><br>がっこう
天井	ceiling<br><br>てんじょう
天才	genius; prodigy ("heavenly" gift)<br><br>てんさい
秋	autumn<br><br>あき
秋分	(n) autumn equinox/fall equinox/(P)<br><br>しゅうぶん
悪い	(adj-i) (1) hateful/abominable/poor-looking/detestable/(2) (with irony) lovely, lovable, wonderful, etc.<br><br>にくい
悪魔	(n) devil/demon/fiend/Satan/evil spirit/(P)<br><br>あくま
朝	(n-adv,n-t) morning/(P)<br><br>あさ
兄弟	(n) siblings/brothers and sisters<br><br>きょうだい、 けいてい
姉妹	(n) sisters/(P)<br><br>しまい
姉	(n-suf) (1) (fam) used after the name of someone who is an older sister figure/(n) (2) used with various honorifics to mean (older) sister<br><br>あね
妹	(n) (hum) younger sister/(P)<br><br>いもうと
急ぐ	(v5g,vi) to hurry/to rush/(P)<br><br>いそぐ
救急車	(n) ambulance/(P)<br><br>きゅうきゅうしゃ
番犬	(n) watchdog/(P)<br><br>ばんけん
従姉妹	(n) (uk) cousin (female)<br><br>いとこ
都市	town とし<br><br>とし
景色	(n) scenery/scene/landscape/(P)<br><br>けしき
委員	(n) committee member/(P)<br><br>いいん
金魚	(n) goldfish/(P)<br><br>きんぎょ
歌詞	(n) song lyrics/words of a song/libretto/(P)<br><br>かし
歌舞伎	(n) kabuki/Japanese classical drama/(P)<br><br>かぶき
短歌	(n) tanka/31-syllable Japanese poem/(P)<br><br>たんか
写す	to transcribe; to duplicate; to reproduce; to imitate; to trace; to describe; to film; to picture; to photograph<br><br>うつす
映す	to project; to reflect; to cast (shadow)<br><br>うつす
海岸	(n) coast/beach/(P)<br><br>かいがん
運ぶ	to carry<br><br>はこぶ
貴重	precious; valuable<br><br>きちょう
英雄	(n) hero/great man/(P)<br><br>えいゆう
終わる	(v5r,vi) to finish/to end/to close/(P)<br><br>おわる
衛星	(n) satellite/(P)<br><br>えいせい
放送	(n,vs) broadcast/broadcasting/(P)<br><br>ほうそう
宗教	(n) religion/(P)<br><br>しゅうきょう
教育	(n,adj-no,vs) training/education/(P)<br><br>きょういく
弟	(n) (1) (hum) younger brother<br><br>おとうと
従兄弟	male cousin<br><br>じゅうけいてい
創造主	(n) Creator<br><br>そうぞうしゅ
地主	(n) landlord/landowner/(P)<br><br>じぬし
意思	(n) intention/purpose/(P)<br><br>いし
両思い	(n) mutual love<br><br>りょうおもい
片思い	(n) unrequited love/(P)<br><br>かたおもい
両親	(n) parents/both parents/(P)<br><br>りょうしん
夏祭り	(n) summer festival<br><br>なつまつり
視界	(n) field of vision/(P)<br><br>しかい
江戸時代	(n) Edo period (1603-1868 CE)<br><br>えどじだい
音楽	music<br><br>おんがく
貸す	to lend<br><br>かす
用紙	(n) blank form/(P)<br><br>ようし
借りる	to borrow; to rent<br><br>かりる
借金	debt<br><br>しゃっきん
次元	dimension (spatial); perspective; point of reference; level<br><br>じげん
身元	(n) person's identity/ID/past/background/(P)<br><br>みもと
参考	(n) reference/consultation/(P)<br><br>さんこう
去る	to leave; to go away; to pass; to elapse; to be distant; to send away; to drive off; to divorce; (after a -masu stem, esp. of a suru verb) ... completely; last ... (e.g. "last April")<br><br>さる
京都	(n) Kyoto/(P)<br><br>きょうと
北京	(n) Beijing (China)/Peking/(P)<br><br>ぺきん
強敵	(n) formidable enemy/(P)<br><br>きょうてき
営業	business/trade/sales/operations<br />えいぎょう<br><br>
軽業	(n) acrobatics/risky undertaking<br><br>かるわざ
親切	kindness/gentleness<br><br>しんせつ
履む<br>践む<br>踏む	to step on/to tread on/to experience/to undergo<br><br>ふむ
切る	to cut<br><br>きる
銀行	(n) bank/(P)<br><br>ぎんこう
暗黒	darkness<br><br>あんこく
温度計	(n) thermometer<br><br>おんどけい
研ぐ	(v5g,vt) to sharpen/to grind/to scour/to hone/to polish/to wash (rice)/(P)<br><br>とぐ
印 徴 標 験	mark; symbol; evidence<br><br>しるし
広告	advertisement<br><br>こうこく
試す	(v5s,vt) to attempt/to test/(P)<br><br>ためす
問答	(n,vs) questions and answers/dialogue/(P)<br><br>もんどう
応答	(n,vs) reply/answer/response/(P)<br><br>おうとう
回転	(n,vs) rotation (usu. around something)/revolution/turning/(P)<br><br>かいてん
麦茶	(n) barley tea/(P)<br><br>むぎちゃ
早速	(adv) at once/immediately/without delay/promptly/(P)<br><br>さっそく
禁止	(n,vs) prohibition/inhibition/ban/(P)<br><br>きんし
中止	(n,vs) suspension/stoppage/discontinuance/interruption/(P)<br><br>ちゅうし
自衛	self-defense<br><br>じえい
奉仕	(n,vs) attendance/service/ministry/church work/(P)<br><br>ほうし
致死	lethal/fatal<br><br>ちし
必死	frantic/desperate/inevitable death<br><br>ひっし
私書箱	(n) (abbr) post office box/(P)<br><br>ししょばこ
居心地	(n) comfort/(P)<br><br>いごこち
下品	(adj-na,n) vulgarity/meanness/indecency/coarseness/(P)<br><br>げひん
化粧	(n,vs) make-up/cosmetics<br><br>けしょう
週	(n,n-suf) week/(P)<br><br>しゅう
住む	to reside/to inhabit/to dwell/to abide (a locui)<br><br>すむ
住所	(n) address (e.g. of house)/residence/domicile/(P)<br><br>じゅうしょ
衣食住	necessities of life (clothing, food, shelter)<br><br>いしょくじゅう
春	spring/springtime<br><br>はる
青春	(n,adj-no) youth/springtime of life/adolescent/(P)<br><br>せいしゅん
改正	(n,vs) revision/amendment/alteration/(P)<br><br>かいせい
正月	(n) New Year/New Year's Day/the first month/January/(P)<br><br>しょうがつ
駐車場	parking lot<br><br>ちゅうしゃじょう
真	～の侍はどう死ぬか目にかけよう<br><br>まこと
地図	(n) map/(P)<br><br>ちず
世紀	century<br><br>せいき
夕方	evening<br>ゆうがた<br><br>ゆうがた
夕焼け	(n) sunset/(P)<br><br>ゆうやけ
競走	race<br><br>きょうそう
注文	order; request<br><br>ちゅうもん
舞台	stage (theater); scene or setting (of a novel, play)<br><br>ぶたい
招待	(n,vs) invitation/(P)<br><br>しょうたい
宿題	(n) homework/(P)<br><br>しゅくだい
独立	(adj-na,n,vs) independence (e.g. Independence Day)/self-support/(P)<br><br>どくりつ
旅券	(n) passport/(P)<br><br>りょけん
昼	(n-adv,n-t) (1) noon/midday/(2) daytime/(3) lunch/(P)<br><br>ひる
町民	(n) townspeople/(P)<br><br>ちょうみん
町	town<br><br>まち
一石二鳥	(exp) killing two birds with one stone/(P)<br><br>いっせきにちょう
喫茶店	(n) coffee lounge/coffee shop/(rather formal) cafe/(P)<br><br>きっさてん
疑問	(n) question/problem/doubt/guess/(P)<br><br>ぎもん
片道	(n) one-way (trip)/(P)<br><br>かたみち
食堂	dining hall (at a Buddhist temple)<br><br>じきどう
荒野	(n) wasteland/wilderness/deserted land/prairie/vast plain/wilds/desert/wild land<br><br>あらの
爆発	(n,vs) explosion/detonation/eruption/(P)<br><br>ばくはつ
今夜	(n-adv,n-t) this evening/tonight/(P)<br><br>こんや
料金	(n) fee/charge/fare/(P)<br><br>りょうきん
浅い	(adj-i) shallow/superficial/(P)<br><br>あさい
預かる	(v5r,vt) to keep in custody/to receive on deposit/to take charge of/(P)<br><br>あずかる
予言　兼言　預言	(n,vs) prediction/promise/prognostication<br><br>よげん
汗	(n) (1) sweat/perspiration/(2) moisture/condensation/(P)<br><br>あせ
汗腺	(n) sweat gland<br><br>かんせん
遊星	(n) wandering star/planet<br><br>ゆうせい
価値	(n) value/worth/merit/(P)<br><br>かち
気圧	(n) atmospheric pressure/(P)<br><br>きあつ
電圧	(n) voltage/(P)<br><br>でんあつ
暑中	(n) mid-summer/(P)<br><br>しょちゅう
熱	fever; temperature<br><br>ねつ
熱い	hot (thing)<br><br>あつい
熱心	zeal; enthusiasm<br><br>ねっしん
足跡	(n) footprints/(P)<br><br>あしあと
遺跡	(n) historic ruins (remains, relics)/(P)<br><br>いせき
奇跡	(n) miracle/wonder/marvel/(P)<br><br>きせき
乱暴	violent 熟語 ("like in the movies")<br><br>らんぼう
浴びる	to bathe; to shower<br><br>あびる
日光浴	sunbathing<br><br>にっこうよく
醤油	(n) shoyu (kind of Japanese soy sauce)/(P)<br><br>しょうゆ
脂肪	(n) fat/grease/blubber/(P)<br><br>しぼう
甘い	sweet; delicious; fragrant (smelling) | skillful; clever; expert; wise; successful; delicious; appetizing<br><br>あまい、うまい
余地	(n) place/room/margin/scope/(P)<br><br>よち
余命	(n) remainder of one's life/one's remaining years/(P)<br><br>よめい
余る	to be left over; to be in excess; to be too many<br><br>あまる
誤解	misunderstanding 二字<br><br>ごかい
試行錯誤	(n,vs) trial and error/(P)<br><br>しこうさくご
荒い	(adj-i) rough/rude/wild/(P)<br><br>あらい
競争	competition/contest (~fighting among equals)<br><br>きょうそう
争う	to compete/to quarrel/to deny (e.g. evidence)<br><br>あらそう
改革	(n,vs) reform/reformation/innovation/(P)<br><br>かいかく
改訂	revision<br><br>かいてい
座席表	(n) seating chart<br><br>ざせきひょう
著者	author (usu. of a particular book, etc.) - who "is published"<br><br>ちょしゃ
著す	to write ("get published")<br><br>あらわす
暗記	(n,vs) memorization/memorisation/learning by heart/(P)<br><br>あんき
任せる	to entrust (e.g. a task) to another/to leave to<br><br>まかせる
衣服	clothes<br>二字<br><br>いふく
雰囲気	(n) atmosphere (e.g. musical)/mood/ambience/ambiance/(P)<br><br>ふんいき
囲炉裏	(n) hearth/fireplace<br><br>いろり
位	level/tier/rank/degree/extent/amount<br><br>くらい、イ
胃	(n) (1) stomach/(2) Chinese "stomach" constellation (one of the 28 mansions)/(P)<br><br>い
易しい	easy/plain/simple<br>い形容詞<br><br>やさしい
移る	to move (house); to transfer (department); to change the target of interest or concern; to elapse (passage of time); to be permeated by a colour or scent; to be infected<br>一字<br><br>うつる
依る 因る 由る 拠る	to be due to; to be caused by; to depend on; to turn on; to be based on; to come from<br><br>よる
偉い	admirable/remarkable/distinguished<br><br>えらい
偉大	(adj-na,n) greatness/(P)<br><br>いだい
怒る	to get angry; to get mad<br><br>おこる、いかる
安息	rest/repose ("liniste sufleteasca")<br><br>あんそく
勢力	(n) influence/power/might/strength/potency/force/energy/(P)<br><br>せいりょく
勢い込む	(v5m,vi) to brace oneself<br><br>いきおいこむ
幾つ	how many?<br><br>いくつ
電池	(n) battery/(P)<br><br>でんち
池	(n) pond/(P)<br><br>いけ
温泉	spa/hot spring/onsen<br><br>おんせん
忙しい	(adj-i) busy/hectic/occupied/engaged/(P)<br><br>いそがしい
多忙	busy; pressure of work<br><br>たぼう
看板	sign/signboard/doorplate/poster/billboard<br><br>かんばん
板挟み	stuck between a rock and a hard place/in a dilemma/torn between conflicting demands<br><br>いたばさみ
痛い	painful/sore/"it hurts!"<br><br>いたい
抱擁	embrace/hug/holding in one's arms 名詞<br><br>ほうよう
頂戴	please do for me<br><br>ちょうだい
大阪市	(n) Osaka city<br><br>おおさかし
賛否	(n) yes and no/for and against/(P)<br><br>さんぴ
命	(n) (mortal) life/(P)<br><br>いのち
祈る	to pray<br><br>いのる
紙芝居	(n) picture story show/(P)<br><br>かみしばい
岩手県	(n) Iwate prefecture (Touhoku area)<br><br>いわてけん
祝う	(v5u,vt) to congratulate/to celebrate/(P)<br><br>いわう
祝福	(n,vs) blessing/(P)<br><br>しゅくふく
羽	(n) (1) feather/plume/wing/(n) (2) blade (fan, propeller, etc.)/(P)<br><br>はね
植える	(v1,vt) to plant/to grow/(P)<br><br>うえる
植物	(n) plant/vegetation/(P)<br><br>しょくぶつ
伺う	(HUMBLE) to ask; to inquire (e.g. during a podcast interview :P)<br><br>うかがう
授受	(n,vs) give and receive/(P)<br><br>じゅじゅ
承る	(hum) to hear/to be told/to know/to receive (order)<br><br>うけたまわる
承認	(n,vs) recognition/acknowledgement/approval/consent/agreement/(P)<br><br>しょうにん
失う	to lose<br><br>うしなう
失敗	failure/mistake/blunder<br><br>しっぱい
失礼	(n,vs,adj-na) (1) discourtesy/impoliteness/(exp) (2) Excuse me/Goodbye/(vs) (3) to leave/(vs) (4) to be rude/(P)<br><br>しつれい
薄い	thin; pale; watery, dilute; weak (taste); slim (probability); small<br><br>うすい
薄荷	(n) mint/peppermint<br><br>はっか
疑う	(v5u,vt) to doubt/to distrust/to be suspicious of/to suspect/(P)<br><br>うたがう
埋まる	to be buried/to be surrounded/to overflow/to be filled<br><br>うまる
穴埋め	(n,vs) filling in gaps/filling in blanks (in a form, etc.)/(P)<br><br>あなうめ
尊敬	(n,vs) respect/esteem/reverence/honour/honor/(P)<br><br>そんけい
手裏剣	(n) shuriken/small throwing blade/small edged weapon often used for throwing/throwing star<br><br>しゅりけん
独占	(n) (1) monopoly/(vs) (2) to monopolize/to hog/(P)<br><br>どくせん
占う	to forecast/to predict (as a fortune teller)<br><br>うらなう
得る	to get; to acquire; to obtain; to procure; to earn; to win; to gain; to secure; to attain; (after the -masu stem of a verb) to be able to ...; can ...<br>(simpler kanji)<br><br>える
心得	knowledge/information (of the heart)<br><br>こころえ
泳ぐ	(v5g,vi) to swim/(P)<br><br>およぐ
水泳	(n,vs) swimming/(P)<br><br>すいえい
栄養	nutrition<br><br>えいよう
鋭い	(adj-i) pointed/sharp/(P)<br><br>するどい
血液型	(n) blood type/(P)<br><br>けつえきがた
枯れ枝	(n) dead branch (or twig, etc.)/withered branch<br><br>かれえだ
爪楊枝	(n) toothpick/(P)<br><br>つまようじ
越える　超える	to cross over; to pass through/over<br><br>こえる
引越す	to change residence<br><br>ひっこす
笑う	to laugh<br><br>わらう
笑顔	(n,vs) smiling face/smile/(P)<br><br>えがお
可笑しい	amusing/ridiculous<br>い形容詞<br><br>おかしい
選挙	(n,vs) election/(P)<br><br>せんきょ
望遠鏡	(n) telescope/(P)<br><br>ぼうえんきょう
塩	(n) salt/(P)<br><br>しお
食塩	table salt<br>漢字二字<br><br>しょくえん
演歌	(n) enka/traditional-style Japanese popular ballad/(P)<br><br>えんか
伸ばす　延ばす	(v5s,vt) (1) to grow long (beard, hair, etc.)/(2) to lengthen/to extend/to stretch/(3) to reach out/to hold out/(4) to straighten/to smooth out/(5) to spread evenly (dough, cream, etc.)/(6) to dilute/to thin out/(7) to postpone/(8) to prolong/(9) to strengthen/to develop/to expand/(P)<br><br>のばす
延期	postponement/adjournment ("growth of time")<br><br>えんき
禁煙	(exp) (1) No Smoking!/Smoking Prohibited!/(n,vs) (2) abstaining from smoking/quitting smoking/(P)<br><br>きんえん
煙	(n) smoke/fumes/(P)<br><br>けむり
汚い	dirty<br><br>きたない
汚染	pollution/contamination<br><br>おせん
老いる　老ける	to age; to grow old<br><br>おいる　ふける
追う	to chase/to run after/to pursue<br><br>おう
掛ける	to hang (e.g. picture)/to hoist (e.g. sail)/to raise (e.g. flag)/to make (a call)/(6) to multiply/to put on (glasses, etc.)<br><br>かける
追放	exile/banishment<br><br>ついほう
王国	(n) kingdom/monarchy/(P)<br><br>おうこく
黄昏	dusk<br />漢字二字<br><br>こうこん、たそがれ
横綱	(n) yokozuna (sumo grand champion)/(P)<br><br>よこづな
横断	crossing; transverse<br><br>おうだん
西欧	(n) Western Europe/(P)<br><br>せいおう
押す	(v5s,vt) (1) to push/to press/(2) to apply pressure from above/to press down/(3) to stamp (i.e. a passport)/to apply a seal/(P)<br><br>おす
奥さん	(n) (hon) wife/your wife/his wife/married lady/madam/(P)<br><br>おくさん
違犯	(n,vs) violation (of law)/transgression/infringement/breach<br><br>いはん
犯す	(v5s,vt) to commit/to perpetrate/to violate/to rape/(P)<br><br>おかす
拝む	to worship; to beg<br><br>おがむ
偶像礼拝	idolatry<br><br>ぐうぞうれいはい
拝啓	Dear (so and so)<br><br>はいけい
補う	to compensate for/to supplement<br><br>おぎなう
億	(num) 10^8/100,000,000/hundred million/(P)<br><br>おく
遅刻	(n,vs) lateness/late coming/(P)<br><br>ちこく
贈収賄	(n) bribery/corruption/(P)<br><br>ぞうしゅうわい
幼児	infant/baby/child<br><br>ようじ
幼い	very young; childish; immature<br><br>いとけない、おさない
治まる、収まる、納まる	to be at peace/to clamp down/to lessen (storm, terror, anger)<br><br>おさまる
治す　直す	to cure; to heal; to fix; to correct; to repair; to do over again (after -masu base of verb); to replace; to put back as it was; to convert (into a different state)<br><br>なおす
政治	(n) politics/government/(P)<br><br>せいじ
収穫	harvest<br><br>しゅうかく
恐怖	fear/dread/dismay/terror<br><br>きょうふ
落つ	to fall down/to drop/to degenerate/to degrade<br><br>おつ
猿	monkey<br><br>さる
大丈夫	(adj-na,adv,n) safe/all right/OK/(P)<br><br>だいじょうぶ
夫婦	(n) married couple/spouses/husband and wife/couple/pair<br><br>ふうふ
訪問	(n,vs) call/visit/(P)<br><br>ほうもん
踊る	(v5r,vi) to dance (orig. a hopping dance)/(P)<br><br>おどる
帯びる	to wear (sword, decoration, etc.)/to carry/to be entrusted (e.g. with a mission)/to take on/to have a trace of/to be tinged with<br><br>おびる
黒帯	(n) black belt (judo, karate, etc.)<br><br>くろおび
感覚	sense, sensation<br><br>かんかく
目覚ます	to wake up ("open eyes")<br><br>めざます
時計	(n) watch/clock/timepiece/(P)<br><br>とけい
面接	(n,vs) interview/(P)<br><br>めんせつ
赤面	(n) red face/kabuki villain<br><br>あかつら
降参	surrender; submission; giving in to<br><br>こうさん
香水	(n) perfume/(P)<br><br>こうすい
化	(suf) action of making something/-ification<br><br>か
加える	(v1,vt) to append/to sum up/to add (up)/to include/to increase/to inflict/(P)<br><br>くわえる
硬貨	coin<br><br>こうか
課税	taxation<br><br>かぜい
銀河	(n) (1) Milky Way/(2) galaxy/(P)<br><br>ぎんが
氷河	(n) glacier/(P)<br><br>ひょうが
菓子	(n) pastry/(P)<br><br>かし
貝	(n) shell/shellfish/(P)<br><br>かい
愉快	pleasant, happy ("hearty" 名詞)<br><br>ゆかい
快速	(adj-na,n) high speed/celerity/mobility/express (train that bypasses many stations)/(P)<br><br>かいそく
解決	settlement/solution<br><br>かいけつ
灰色	(n) grey/gray/ashen/(P)<br><br>はいいろ
皆既日食	(n) total solar eclipse<br><br>かいきにっしょく
迫害	persecution<br><br>はくがい
見交わす	(v5s) to exchange glances<br><br>みかわす
交換	exchange; barter; substitution<br><br>こうかん
返事	reply/answer/response (e.g. by mail)<br><br>へんじ
文部省	(n) (abbr) Ministry of Education, Culture, Sports, Science and Technology/(P)<br><br>もんぶしょう
相変わらず	(adv,n) as ever/as usual/the same/(P)<br><br>あいかわらず
振替	(n) transfer (money)/change/(P)<br><br>ふりかえ
係員	(n) official (e.g. customs)/clerk in charge/(P)<br><br>かかりいん
欠点	faults; defect; weakness<br><br>けってん
欠く	(v5k,vt) to lack/to break/to crack/to chip/(P)<br><br>かく
三角	(n) triangle/triangular/(P)<br><br>さんかく
経済	(n,vs) economics/business/finance/economy/(P)<br><br>けいざい
革命	(n) (1) revolution/(2) 58th year of the sexagenary cycle (in onmyou-dou)/(P)<br><br>かくめい
金額	(n) amount of money/(P)<br><br>きんがく
賢明	wisdom, prudence<br><br>けんめい
算数	arithmetic<br><br>さんすう
複数	(n,adj-no) several/plural/plurality/multiple/(P)<br><br>ふくすう
数える	(v1,vt) to count/to enumerate/(P)<br><br>かぞえる
肩凝り	(n) stiff shoulders<br><br>かたこり
硬い 固い 堅い 緊い	hard; solid; tough; stiff; tight; wooden; unpolished (e.g. writing); strong; firm (not viscous or easily moved); safe; steady; honest; steadfast; obstinate; stubborn<br><br>かたい
凝固点	(n) hardening point/freezing point/congealing point<br><br>ぎょうこてん
耳を傾ける	(exp) to lend an ear/to hearken/to give an ear to/to listen carefully<br><br>みみをかたむける
一割	(n) ten percent<br><br>いちわり
分割	partition; division; separation<br><br>ぶんかつ
慈悲	(n) compassion/benevolence/charity/mercy/(P)<br><br>じひ
悲しい 哀しい	(adj-i) sad/sorrowful/(P)<br><br>かなしい
構える	(v1,vt) to set up/(P)<br><br>かまえる
髪	(n) hair (on the head)/(P)<br><br>かみ
散髪	(n,vs) hair-cutting/hair-dressing/(P)<br><br>さんぱつ
辛い	(adj-i) (1) spicy/hot/(2) salty/(3) tough (on someone)/adverse/harsh/(P)<br><br>からい
枯れる	(v1,vi) to wither (plant)/to be blasted/to die/(P)<br><br>かれる
絡む	to entangle/to pick a quarrel/to be involved with<br><br>からむ
軽い	(adj-i) (1) light (i.e. not heavy)/feeling light (i.e. offering little resistance, moving easily)/(2) light (i.e. of foot)/nimble/agile/(3) non-serious/minor/unimportant/trivial/(4) slight/small/gentle/soft/(5) easy/simple/(6) indiscriminate<br><br>かるい、かろい
軽犯罪	(n) minor offence/minor offense/misdemeanor/misdemeanour<br><br>けいはんざい
皮	(n) skin/hide/leather/fur/pelt/bark/shell/(P)<br><br>かわ
皮肉	(adj-na,n) cynicism/sarcasm/irony/satire/(P)<br><br>ひにく
乾く	to get dry<br><br>かわく
乾杯	(n,vs) (1) toast/drink (in celebration or in honor of something)/(2) drinking one's glass dry/(int) (3) cheers/(P)<br><br>かんぱい
乾燥機	(n) drying machine/dryer/desiccator<br><br>かんそうき
寒い	(adj-i) cold (e.g. weather)/(P)<br><br>さむい
防寒	(n) protection against cold<br><br>ぼうかん
完璧	(adj-na) perfect/complete/flawless/(P)<br><br>かんぺき
完全主義者	(n) perfectionist<br><br>かんぜんしゅぎしゃ
警察官	(n) policemen/policeman/police officer<br><br>けいさつかん
血管	(n) blood vessel/(P)<br><br>けっかん
管制塔	(n) control tower/(P)<br><br>かんせいとう
観光	(n,vs) sightseeing/(P)<br><br>かんこう
夕刊	(n) evening paper/(P)<br><br>ゆうかん
梅干	(n) dried plum/(P)<br><br>うめぼし
鉢巻	headband<br><br>はちまき
缶詰	(n) packing (in cans)/canning/canned goods/tin can/(P)<br><br>かんづめ
患う	to fall ill<br><br>わずらう
川岸	(n) (1) river bank/riverside/(2) fish market/(P)<br><br>かわぎし
願望	desire/wish/aspiration<br>がんぼう<br><br>がんぼう
含蓄	(n,vs) implication/significance/connotation/depth of meaning/complications of a problem/(P)<br><br>がんちく
記す	to write down; to note; to remember<br><br>きす、しるす
希望	(n,vs) hope/wish/aspiration/(P)<br><br>きぼう
季節	(n) season/(P)<br><br>きせつ
喜ぶ	(v5b,vi) (1) to be delighted/to be glad/to be pleased/(2) to congratulate/(3) to gratefully accept/(P)<br><br>よろこぶ
机上の空論	academic gossip/empty theory (armchair theory)<br><br>きじょうのくうろん
裏技	underhanded trick; (comp) exception operation<br><br>うらわざ
権利	right; privilege<br><br>けんり
効く 利く	(v5k,vi) (1) to be effective/to show effect/(2) to do its work/to carry out its function well/(3) to be possible to use/(P)<br><br>きく
兆す	(v5s,vi) to show signs (symptoms)<br><br>きざす
前兆	premonition/harbinger<br><br>ぜんちょう
刻む	(v5m,vt) to mince/to carve/to engrave/to cut fine/to chop up/to hash/to chisel/to notch/(P)<br><br>きざむ
築く	to build/to pile up/to amass<br><br>きずく
改築	(n,vs) structural alteration of building/reconstruction/(P)<br><br>かいちく
競う	(v5u,vi) (1) to compete with/(2) to emulate/(P)<br><br>きそう
競る	(v5r,vt) to compete/to bid/to sell at auction/(P)<br><br>せる
喫煙	(n,vs) smoking/(P)<br><br>きつえん
鮨詰め	(n) (food) jam-packed/packed in like sushi (like sardines)<br><br>すしづめ
寿司	(ateji) (n) (food) (uk) sushi/anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies)/(P)<br><br>すし
雨天決行	(n) NOT cancelled in case of rain<br><br>うてんけっこう
諸君	Gentlemen!; Ladies!<br><br>しょくん
逆説	(n) paradox/(P)<br><br>ぎゃくせつ
逆様	inversion; upside down<br><br>さかさま
武士階級	(n) warrior class<br><br>ぶしかいきゅう
泣く	(v5k) to cry/to weep/to sob/to howl/(P)<br><br>なく
感泣	(n,vs) being moved to tears<br><br>かんきゅう
永久歯	(n) permanent tooth<br><br>えいきゅうし
久し振り	(adj-na,adj-no) a long time (since the last time)/it's been a while (since I last saw, mailed, etc., you)/(P)<br><br>ひさしぶり
旧約聖書	(n) Old Testament<br><br>きゅうやくせいしょ
吸う	(v5u,vt) (1) to smoke/to breathe in/to inhale/(2) to suck/to sip/to slurp/(3) to absorb/to soak up/(4) to kiss/(P)<br><br>すう
深呼吸	(n,vs) deep breath<br><br>しんこきゅう
運転免許	(n) driver's license/driver's licence<br><br>うんてんめんきょ
清い	(adj-i) clear/pure/noble/(P)<br><br>きよい
橋	bridge<br><br>はし
歩道橋	(n) pedestrian bridge/(P)<br><br>ほどうきょう
共産	(n) (1) communism/(2) (abbr) Communist Party/(P)<br><br>きょうさん
境	(n) border/boundary/mental state/(P)<br><br>さかい
胸毛	chest hair<br><br>むなげ
胸部	chest/breast 二字<br><br>きょうぶ
雄叫び	(n) war cry/roar<br><br>おさけび
準備	preparations<br>二字<br><br>じゅんび
肩身が狭い	(expression) feeling ashamed<br><br>かたみがせまい
狭苦しい	(adj-i) cramped<br><br>せまくるしい
洗濯挟み	(n) clothes-pin<br><br>せんたくばさみ
結局	eventually<br><br>けっきょく
米航空宇宙局	(n) National Aeronautics and Space Administration/NASA<br><br>べいこうくううちゅうきょく
積極	(n) positive/progressive/(P)<br><br>せっきょく
北極	North Pole<br><br>ほっきょく
究める 極める 窮める	to carry to extremes; to go to the end of something; to investigate thoroughly; to master<br><br>きわめる
水玉	(n) polkadot/(P)<br><br>みずたま
勤務	service/duty/work (during "employment")<br><br>きんむ
寝苦しい	(adj-i) unable to sleep well/(P)<br><br>ねぐるしい
苦い	(adj-i) bitter/(P)<br><br>にがい
苦労	troubles; hardships<br><br>くろう
冷蔵庫	(n) refrigerator/(P)<br><br>れいぞうこ
口紅	(n) lipstick/(P)<br><br>くちべに
紅海	(n) Red Sea<br><br>こうかい
偶然	(by) chance/unexpectedly/suddenly/accident/fortuity<br><br>ぐうぜん
偶像	idol; statue<br><br>ぐうぞう
隅隅	(n) every nook and corner<br><br>すみずみ
海草	(n) seaweed/marine plant<br><br>かいそう
解毒薬　解毒剤	antidote<br><br>げどくやく　げどくざい
薬	(n) (1) medicine/pharmaceuticals/(legal) drugs/(2) efficacious chemical (i.e. gunpowder, pesticide, etc.)/(3) (pottery) glaze/(4) small bribe/(P)<br><br>くすり
掘る	(v5r) to dig/to excavate/(P)<br><br>ほる
配る	to distribute/to deliver<br><br>くばる
